,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,39837594,14.75%,1.78%,-2.49%
1,screwfix.com,26599018,-2.91%,1.41%,4.93%
2,diy.com,20680639,-4.25%,-1.62%,-1.28%
3,wickes.co.uk,12207191,-0.74%,20.88%,12.18%
4,argos.co.uk,9845215,-6.59%,3.85%,8.55%
5,toolstation.com,5595540,-4.51%,1.86%,2.48%
6,therange.co.uk,5126046,0.39%,8.35%,8.6%
7,homebase.co.uk,4061835,-7.59%,5.14%,0.55%
8,wayfair.co.uk,3760237,-9.72%,-6.9%,-7.19%
9,dunelm.com,2706529,-2.28%,6.07%,10.07%
10,ikea.com,2489773,-1.28%,-6.66%,-4.57%
11,manomano.co.uk,1488605,-7.39%,-1.33%,-11.65%
12,made.com,86495,-21.55%,-19.01%,-13.42%
