,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,12606291,1.1%,0.54%,7.16%
1,leroymerlin.es,7514867,-1.41%,-0.36%,0.81%
2,manomano.es,2731508,-12.73%,-11.71%,-5.82%
3,ikea.com,1201899,0.05%,-5.03%,-12.14%
4,elmueble.com,1143249,2.84%,5.95%,-0.21%
5,bauhaus.es,1127246,5.55%,13.4%,38.1%
6,carrefour.es,597217,0.59%,1.0%,-46.6%
7,bricomart.es,529238,-7.48%,-0.75%,76.67%
8,bricodepot.es,388149,-3.08%,4.61%,-22.38%
9,aliexpress.com,338822,3.73%,13.48%,9.0%
10,maisonsdumonde.com,317885,-4.06%,-11.72%,-15.66%
